"NUMERO_SEMAINE","DATE_DEBUT","DATE_FIN","ANNEE"
1,31/12/18,06/01/19,"2019"
2,07/01/19,13/01/19,"2019"
3,14/01/19,20/01/19,"2019"
4,21/01/19,27/01/19,"2019"
5,28/01/19,03/02/19,"2019"
6,04/02/19,10/02/19,"2019"
7,11/02/19,17/02/19,"2019"
8,18/02/19,24/02/19,"2019"
9,25/02/19,03/03/19,"2019"
10,04/03/19,10/03/19,"2019"
11,11/03/19,17/03/19,"2019"
12,18/03/19,24/03/19,"2019"
13,25/03/19,31/03/19,"2019"
14,01/04/19,07/04/19,"2019"
15,08/04/19,14/04/19,"2019"
16,15/04/19,21/04/19,"2019"
17,22/04/19,28/04/19,"2019"
18,29/04/19,05/05/19,"2019"
19,06/05/19,12/05/19,"2019"
20,13/05/19,19/05/19,"2019"
21,20/05/19,26/05/19,"2019"
22,27/05/19,02/06/19,"2019"
23,03/06/19,09/06/19,"2019"
24,10/06/19,16/06/19,"2019"
25,17/06/19,23/06/19,"2019"
26,24/06/19,30/06/19,"2019"
27,01/07/19,07/07/19,"2019"
28,08/07/19,14/07/19,"2019"
29,15/07/19,21/07/19,"2019"
30,22/07/19,28/07/19,"2019"
31,29/07/19,04/08/19,"2019"
32,05/08/19,11/08/19,"2019"
33,12/08/19,18/08/19,"2019"
34,19/08/19,25/08/19,"2019"
35,26/08/19,01/09/19,"2019"
36,02/09/19,08/09/19,"2019"
37,09/09/19,15/09/19,"2019"
38,16/09/19,22/09/19,"2019"
39,23/09/19,29/09/19,"2019"
40,30/09/19,06/10/19,"2019"
41,07/10/19,13/10/19,"2019"
42,14/10/19,20/10/19,"2019"
43,21/10/19,27/10/19,"2019"
44,28/10/19,03/11/19,"2019"
45,04/11/19,10/11/19,"2019"
46,11/11/19,17/11/19,"2019"
47,18/11/19,24/11/19,"2019"
48,25/11/19,01/12/19,"2019"
49,02/12/19,08/12/19,"2019"
50,09/12/19,15/12/19,"2019"
51,16/12/19,22/12/19,"2019"
52,23/12/19,29/12/19,"2019"
53,30/12/19,05/01/20,"2020"
54,06/01/20,12/01/20,"2020"
55,13/01/20,19/01/20,"2020"
56,20/01/20,26/01/20,"2020"
57,27/01/20,02/02/20,"2020"
58,03/02/20,09/02/20,"2020"
59,10/02/20,16/02/20,"2020"
60,17/02/20,23/02/20,"2020"
61,24/02/20,01/03/20,"2020"
62,02/03/20,08/03/20,"2020"
63,09/03/20,15/03/20,"2020"
64,16/03/20,22/03/20,"2020"
65,23/03/20,29/03/20,"2020"
66,30/03/20,05/04/20,"2020"
67,06/04/20,12/04/20,"2020"
68,13/04/20,19/04/20,"2020"
69,20/04/20,26/04/20,"2020"
70,27/04/20,03/05/20,"2020"
71,04/05/20,10/05/20,"2020"
72,11/05/20,17/05/20,"2020"
73,18/05/20,24/05/20,"2020"
74,25/05/20,31/05/20,"2020"
75,01/06/20,07/06/20,"2020"
76,08/06/20,14/06/20,"2020"
77,15/06/20,21/06/20,"2020"
78,22/06/20,28/06/20,"2020"
79,29/06/20,05/07/20,"2020"
80,06/07/20,12/07/20,"2020"
81,13/07/20,19/07/20,"2020"
82,20/07/20,26/07/20,"2020"
83,27/07/20,02/08/20,"2020"
84,03/08/20,09/08/20,"2020"
85,10/08/20,16/08/20,"2020"
86,17/08/20,23/08/20,"2020"
87,24/08/20,30/08/20,"2020"
88,31/08/20,06/09/20,"2020"
89,07/09/20,13/09/20,"2020"
90,14/09/20,20/09/20,"2020"
91,21/09/20,27/09/20,"2020"
92,28/09/20,04/10/20,"2020"
93,05/10/20,11/10/20,"2020"
94,12/10/20,18/10/20,"2020"
95,19/10/20,25/10/20,"2020"
96,26/10/20,01/11/20,"2020"
97,02/11/20,08/11/20,"2020"
98,09/11/20,15/11/20,"2020"
99,16/11/20,22/11/20,"2020"
100,23/11/20,29/11/20,"2020"
101,30/11/20,06/12/20,"2020"
102,07/12/20,13/12/20,"2020"
103,14/12/20,20/12/20,"2020"
104,21/12/20,27/12/20,"2020"
105,28/12/20,03/01/21,"2021"
106,04/01/21,10/01/21,"2021"
107,11/01/21,17/01/21,"2021"
108,18/01/21,24/01/21,"2021"
109,25/01/21,31/01/21,"2021"
110,01/02/21,07/02/21,"2021"
111,08/02/21,14/02/21,"2021"
112,15/02/21,21/02/21,"2021"
113,22/02/21,28/02/21,"2021"
114,01/03/21,07/03/21,"2021"
115,08/03/21,14/03/21,"2021"
116,15/03/21,21/03/21,"2021"
117,22/03/21,28/03/21,"2021"
118,29/03/21,04/04/21,"2021"
119,05/04/21,11/04/21,"2021"
120,12/04/21,18/04/21,"2021"
121,19/04/21,25/04/21,"2021"
122,26/04/21,02/05/21,"2021"
123,03/05/21,09/05/21,"2021"
124,10/05/21,16/05/21,"2021"
125,17/05/21,23/05/21,"2021"
126,24/05/21,30/05/21,"2021"
127,31/05/21,06/06/21,"2021"
128,07/06/21,13/06/21,"2021"
129,14/06/21,20/06/21,"2021"
130,21/06/21,27/06/21,"2021"
131,28/06/21,04/07/21,"2021"
132,05/07/21,11/07/21,"2021"
133,12/07/21,18/07/21,"2021"
134,19/07/21,25/07/21,"2021"
135,26/07/21,01/08/21,"2021"
136,02/08/21,08/08/21,"2021"
137,09/08/21,15/08/21,"2021"
138,16/08/21,22/08/21,"2021"
139,23/08/21,29/08/21,"2021"
140,30/08/21,05/09/21,"2021"
141,06/09/21,12/09/21,"2021"
142,13/09/21,19/09/21,"2021"
143,20/09/21,26/09/21,"2021"
144,27/09/21,03/10/21,"2021"
145,04/10/21,10/10/21,"2021"
146,11/10/21,17/10/21,"2021"
147,18/10/21,24/10/21,"2021"
148,25/10/21,31/10/21,"2021"
149,01/11/21,07/11/21,"2021"
150,08/11/21,14/11/21,"2021"
151,15/11/21,21/11/21,"2021"
152,22/11/21,28/11/21,"2021"
153,29/11/21,05/12/21,"2021"
154,06/12/21,12/12/21,"2021"
155,13/12/21,19/12/21,"2021"
156,20/12/21,26/12/21,"2021"
157,27/12/21,02/01/22,"2022"
158,03/01/22,09/01/22,"2022"
159,10/01/22,16/01/22,"2022"
160,17/01/22,23/01/22,"2022"
161,24/01/22,30/01/22,"2022"
162,31/01/22,06/02/22,"2022"
163,07/02/22,13/02/22,"2022"
164,14/02/22,20/02/22,"2022"
165,21/02/22,27/02/22,"2022"
166,28/02/22,06/03/22,"2022"
167,07/03/22,13/03/22,"2022"
168,14/03/22,20/03/22,"2022"
169,21/03/22,27/03/22,"2022"
170,28/03/22,03/04/22,"2022"
171,04/04/22,10/04/22,"2022"
172,11/04/22,17/04/22,"2022"
173,18/04/22,24/04/22,"2022"
174,25/04/22,01/05/22,"2022"
175,02/05/22,08/05/22,"2022"
176,09/05/22,15/05/22,"2022"
177,16/05/22,22/05/22,"2022"
178,23/05/22,29/05/22,"2022"
179,30/05/22,05/06/22,"2022"
180,06/06/22,12/06/22,"2022"
181,13/06/22,19/06/22,"2022"
182,20/06/22,26/06/22,"2022"
183,27/06/22,03/07/22,"2022"
184,04/07/22,10/07/22,"2022"
185,11/07/22,17/07/22,"2022"
186,18/07/22,24/07/22,"2022"
187,25/07/22,31/07/22,"2022"
188,01/08/22,07/08/22,"2022"
189,08/08/22,14/08/22,"2022"
190,15/08/22,21/08/22,"2022"
191,22/08/22,28/08/22,"2022"
192,29/08/22,04/09/22,"2022"
193,05/09/22,11/09/22,"2022"
194,12/09/22,18/09/22,"2022"
195,19/09/22,25/09/22,"2022"
196,26/09/22,02/10/22,"2022"
197,03/10/22,09/10/22,"2022"
198,10/10/22,16/10/22,"2022"
199,17/10/22,23/10/22,"2022"
200,24/10/22,30/10/22,"2022"
201,31/10/22,06/11/22,"2022"
202,07/11/22,13/11/22,"2022"
203,14/11/22,20/11/22,"2022"
204,21/11/22,27/11/22,"2022"
205,28/11/22,04/12/22,"2022"
206,05/12/22,11/12/22,"2022"
207,12/12/22,18/12/22,"2022"
208,19/12/22,25/12/22,"2022"
209,26/12/22,01/01/23,"2023"
